restaurantName	address	city	postalCode	country	region	priceRange	cuisineType	description	facilitiesServices	creditCards	phoneNumber	website
La Sponda	via Colombo 30	Positano	84017	ITA	Campania	€€€€	Mediterranean Cuisine	An elegant restaurant within Le Sirenuse, one of the most prestigious and glamorous hotels on the Amalfi coast, with an attractive outdoor terrace for summer dining with views of Positano’s ...	Car park, Garden or park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 089 875066	https://www.sirenuse.it/it/ristoranti-e-bar/
Accursio	via Grimaldi 41	Modica	97015	ITA	Sicily	€€€€	Contemporary, Creative	Situated near the Duomo di San Pietro and the central Corso Umberto, this small, delightful restaurant occupies a historic palazzo and boasts a simple yet elegant decor including attractive floor ...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 0932 941689	https://www.accursioristorante.it/
Pacifico	via Moscova 29	Milan	20123	ITA	Lombardy	€€€	Peruvian, Asian Influences	Although its dining rooms are fairly small, this restaurant, which acts as an ambassador for Peruvian cuisine with the occasional Asian influence, has an attractive, trendy ambience and a ...	Air conditioning	Amex, Mastercard, Visa	+39 02 8724 4737	https://www.wearepacifico.com
Gagini Restaurant	via dei Cassari 35	Palermo	90133	ITA	Sicily	€€€	Creative, Contemporary	Situated in the lively heart of Palermo between the Vucciria and the small Cala port, this restaurant boasts a modern design and bold colours which are all the more striking for the charming old ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 091 589918	https://www.gaginirestaurant.com/
QuarantunoDodici	via Monte Cadria 127	Fiumicino	00054	ITA	Lazio	€€	Seafood, Mediterranean Cuisine	Situated on the banks of the river, this seaside osteria run by chef Lele Usai (the Michelin-starred Tino is on the first floor of the building) is the perfect setting for a business lunch or an ...	Car park, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 06 658 1179	https://www.quarantunododici.it
Buca di Bacco	corso Italia 149	Pietra Ligure	17027	ITA	Liguria	€€	Seafood	The seafood specialities, the care in the choice of rare produce and the originality of the Proprietor characterise this establishment, situated as it is in the basement of a building.	Air conditioning, Car park	Amex, Mastercard, Visa	+39 019 615307	
Acaja	corso Torino 106	Pinerolo	10064	ITA	Piedmont	€€	Contemporary, Italian	Central, elegant and modern, the cuisine of Acaja winds along two lines: the traditional regional one, with ravioli del plin, cardi gobbi, Piedmont veal and hazelnuts to mention just a few that ...	Air conditioning, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0121 794727	https://www.acajaristorante.it/
Da Marchesi	Località Ca' Gianessi 7	Novafeltria	47863	ITA	Emilia-Romagna	€	Country cooking	Situated on a road that climbs through the Apennines between Romagna and the Marche, this small restaurant serves good, simple and traditional Romagna cuisine. The menu features home-made pasta ...	Car park, Terrace	Mastercard, Visa	+39 0541 920148	https://www.damarchesi.com/
Stefano Paganini alla Corte degli Alfieri	piazza Raimondo 2	Magliano Alfieri	12050	ITA	Piedmont	€€	Modern Cuisine	Occupying a superb 17C castle, this restaurant has two dining rooms: one is decorated with works by local artists which change throughout the year, while the other, more romantic in feel, is ...		Amex, Mastercard, Visa	+39 0173 66244	https://www.stefanopaganini.it/
Da Bibe	via delle Bagnese 1r	Galluzzo	50124	ITA	Tuscany	€€	Tuscan	Immortalised by the Italian writer Montale in his poetry, this trattoria has been run by the same family for almost two centuries. The menu features traditional Tuscan dishes, such as pici pasta ...	Car park, Terrace	Amex, Mastercard, Visa	+39 055 204 9085	https://www.trattoriabibe.com/
La Gallina	frazione Monterotondo 56	Gavi	15066	ITA	Piedmont	€€€	Piedmontese, Contemporary	This attractive restaurant offers three tasting menus featuring traditional and more creative dishes, in which influences from Piedmont, Liguria and Campania (the chef’s native region) combine, ...	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0143 685132	https://www.villasparinaresort.it/it/hotel-gavi/1-0.html
Il Trillo	via Bergiola Vecchia 30	Massa	54100	ITA	Tuscany	€€€	Country cooking, Classic Cuisine	Situated in the hills overlooking the town, this restaurant occupies an old house that is also home to the estate’s wine cellars. Charming setting and cuisine full of flavour, with the option of ...	Air conditioning, Car park, Great view, Terrace	Amex, Mastercard, Visa	+39 0585 46755	https://www.iltrillo.net/
Da Vincenzo	viale Pasitea 172/178	Positano	84017	ITA	Campania	€€	Campanian, Traditional Cuisine	It's never easy to find the right balance between quality and quantity, especially in a town that is very much on the tourist trail. However, Da Vincenzo has succeeded in doing just this for years...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 089 875128	https://www.davincenzo.it/
Da Miky	via Fegina 104	Monterosso al Mare	19016	ITA	Liguria	€€€	Seafood	Situated right on the seafront, Miky is one of the best restaurants for fish (including the famous Monterosso anchovies) in the region, serving cuisine which is more and more exciting and ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0187 817608	https://www.ristorantemiky.it/
Stube Hermitage	via Castelletto Inferiore 69	Madonna di Campiglio	38086	ITA	Trentino-South Tyrol	€€€€	Creative, Regional Cuisine	Situated in a tranquil and secluded location, this restaurant occupies an early-19C Stube-style dining room in the Biohotel Hermitage. Decorated with a profusion of wood and home to just a few ...	Car park, Garden or park, Wheelchair access	Amex, Mastercard, Visa	+39 0465 441558	https://stubehermitage.it/
Relais Blu	via Roncato 60	Massa Lubrense	80061	ITA	Campania	€€€	Mediterranean Cuisine	Situated across the water from Capri, this restaurant boasts one of the most beautiful views of the island from its dining room and outdoor terrace, with its unmistakeable and legendary silhouette...	Air conditioning, Car park, Garden or park, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 081 878 9552	https://www.relaisblu.com/it/restaurant/fine-dining
Osaka	corso Giuseppe Garibaldi 68	Milan	20121	ITA	Lombardy	€€€	Japanese, Traditional Cuisine	Tucked away in a short arcade on the old road from Milan to Como, this restaurant has a simple, minimalist style with a bar where diners can watch the skilful chefs slicing and preparing the fish....	Air conditioning, Counter dining, Notable sake list, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 02 2906 0678	https://www.milanoosaka.com
La Cantina di Manuela	via Carlo Poerio 3	Milan	20129	ITA	Lombardy	€€	Classic Cuisine	The dining room in this young, dynamic restaurant is surrounded by bottles of wine. Elaborate dishes feature on the menu, with antipasti available in the evening. At lunchtime these are replaced ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 02 7631 8892	https://www.lacantinadimanuela.it
Dimora Ulmo	via Pennino 28	Matera	75100	ITA	Basilicata	€€€	Cuisine from Basilicata, Modern Cuisine	The three tasting menus (Contaminazioni, Dimora Ulmo and A mano libera) served at this restaurant housed in an old restored palazzo with a splendid summer terrace overlooking the Sassi feature a ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0835 165 0398	https://www.dimoraulmo.it
Locanda del Falco	Castello di Rivalta 4	Rivalta Trebbia	29010	ITA	Emilia-Romagna	€€	Country cooking, Italian Contemporary	Housed in a medieval hamlet, this traditional restaurant serves typical specialities from Piacenza, as well as other dishes full of creativity and imagination. All are accompanied by wines from ...	Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0523 182 0269	https://www.locandadelfalco.com
L'Erba del Re	via Castelmaraldo 45	Modena	41121	ITA	Emilia-Romagna	€€€	Creative	Situated in a period palazzo near one of Modena’s oldest churches (the façade of Santa Maria della Pomposa dates from the medieval period and the church was rebuilt in 1717), this bright, modern ...	Air conditioning, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 059 218188	https://www.lerbadelre.it/
La Corte	via San Pancrazio 41	Palazzolo sull'Oglio	25036	ITA	Lombardy	€€	Classic Cuisine	Mediterranean-style dishes take pride of place in this attractive restaurant which serves meat and fish dishes and prioritises seasonal ingredients. A visit to the well-stocked wine cellar is ...	Air conditioning, Car park, Interesting wine list, Wheelchair access	Mastercard, Visa	+39 030 740 2136	https://www.ilristorantelacorte.com/
Sora Maria e Arcangelo	via Roma 42	Olevano Romano	00035	ITA	Lazio	€€	Cuisine from Lazio	Those who judge only by appearance will walk on, those who do not will cross the threshold of this small restaurant to savour the delight of local recipes reinterpreted in modern form.	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 06 956 4043	https://www.soramariaearcangelo.com/
Il Marin	Calata Cattaneo, 15, Edificio Millo, Porto Antico	Genoa	16121	ITA	Liguria	€€€	Seafood, Contemporary	Situated at the old port, in the same building and on the same floor as Eataly, this restaurant is simple in style so that nothing detracts from the view through its floor-to-ceiling windows. The ...	Air conditioning, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 010 869 8722	https://ilmarin.it/
Manuelina	via Roma 296	Recco	16036	ITA	Liguria	€€	Modern Cuisine, Ligurian	Very few restaurants in Liguria can compete with the long gastronomic tradition of this restaurant, which was named after its original owner back in 1885! It was Manuelina herself who made the ...	Air conditioning, Car park, Garden or park, Terrace	Amex, Mastercard, Visa	+39 0185 74128	https://www.manuelinaristorante.it/
Bros'	via degli Acaja 2	Lecce	73100	ITA	Apulia	€€€€	Creative, Contemporary	Bros' is a synonym for a young, free spirit which is full of creativity and imagination, where Floriano Pellegrino and Isabella Potì make the most of their extraordinary energy on two tasting ...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 351 661 5513	https://www.pellegrinobrothers.it/
Il Sottomarino	via Fratti 1	Follonica	58022	ITA	Tuscany	€€	Seafood	An elegant dining room and a delightful terrace with sea views – it’s worth making a reservation ahead of time in high season. Excellent fish at reasonable prices, with specialities such as potato...	Air conditioning, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0566 40772	https://www.ilsottomarino.it/
Sichelburg	via Castello 1	Pfalzen	39030	ITA	Trentino-South Tyrol	€€	Creative	Treat yourself to a great meal in an idyllic setting in this village restaurant occupying the first floor of a castle dating back to the 13C. The romantic dining rooms are furnished with wood, ...	Car park, Garden or park, Terrace	Mastercard, Visa	+39 0474 055603	https://www.sichelburg.it/it/ristorante-alto-adige/
Capo Santa Chiara	via al Capo di Santa Chiara 69, Boccadasse	Genoa	16124	ITA	Liguria	€€€	Seafood, Modern Cuisine	The chef at this modern, renovated restaurant at the end of the romantic Boccadasse beach serves creative cuisine that is the result of years of experimentation. Charming terrace overlooking the ...	Air conditioning, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 010 798 1571	https://ristorantecaposantachiara.com/
Crocifisso	via Principe Umberto 46	Noto	96017	ITA	Sicily	€€€	Contemporary	Situated near the church of the same name in the upper part of Noto’s historic centre, this restaurant is one of the best in the area. In a modern and minimalist setting, Marco Baglieri serves ...	Air conditioning, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0931 968608	https://ristorantecrocifisso.it/
Il Faro di Capo d'Orso - Andrea Aprea	SS 163 Amalfitana 44	Maiori	84010	ITA	Campania	€€€€	Creative	Although it’s almost hidden from the road, once you step out of your car and head down the steps into this restaurant, you’ll be greeted by one of the most breathtaking views of the Amalfi Coast, ...	Air conditioning, Car park, Great view, Interesting wine list	Amex, Mastercard, Visa	+39 089 877022	https://www.ilfarodicapodorso.it/it/
Da Nilo	piazza Garibaldi 31	Cetona	53040	ITA	Tuscany	€€	Tuscan	Overlooking the picturesque main square of Cetona, which can be admired from the outdoor tables, this restaurant has a classic ambience. Typical Tuscan cuisine with an emphasis on meat dishes.	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0578 239040	http://Iltigliodipiazza.it
Il Monticello	via Romoli 27	Monte Porzio Catone	00078	ITA	Lazio	€€	Roman, Cuisine from Lazio	Not far from the centre, an attractive restaurant with a warm rustic - style ambience. The cuisine from Rome and the Lazio is full of flavour and the vegetables are grown in the restaurant’s own ...	Air conditioning, Car park, Terrace	Amex, Mastercard, Visa	+39 06 944 9353	
Santa Teresa	via di Porta Soprana 55 r	Genoa	16123	ITA	Liguria	€€	Modern Cuisine, Farm to table	Located just a stone’s throw from the house thought to have belonged to Christopher Columbus, this restaurant boasts welcoming dining rooms where the experienced Scala family serve seasonal, ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 010 583534	https://www.ristorantesantateresagenova.it/
Da Ercole	viale Gramsci 122	Crotone	88900	ITA	Calabria	€€	Seafood, Regional Cuisine	Situated on Crotone’s seafront, Da Ercole is a culinary institution for anyone who loves fish, with the benefit of 40 years in the business behind it! The salty tang of the Ionian sea is ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0962 901425	https://www.ristorantedaercole.com/
Bacucco d'Oro	via del Pozzo 10	Mutignano	64025	ITA	Abruzzo	€	Cuisine from Abruzzo, Traditional Cuisine	From the coast, you take a winding road uphill to this family-run trattoria which boasts sea views from its terrace. Apart from the salted cod, the menu only features meat dishes, with a focus on ...	Car park, Great view, Restaurant offering vegetarian menus, Terrace	Mastercard, Visa	+39 085 936227	
Le Cicale in Città	via Macaggi 53	Genoa	16121	ITA	Liguria	€€€	Seafood, Italian	A classic-style dining room adorned with mirrors and silverware acts as the backdrop for fish and seafood dishes at this restaurant. The raw fish is particularly excellent, as are the mupa (a ...	Air conditioning	Amex, Mastercard, Visa	+39 010 592581	https://www.lecicalegenova.it/
Le Bubbole	via San Potito 57/a	Matera	75100	ITA	Basilicata	€€€	Cuisine from Basilicata, Modern Cuisine	In a refined restaurant within the walls of Palazzo Gattini, a historic residence in the heart of Matera, a local cuisine that is also open to some external contamination. Dinner on the terrace ...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0835 334358	https://www.palazzogattini.it/it/ristoranti-e-lounge/la-cucina-le-bubbole-014.html
All'Olivo	piazza San Quirico 1	Lucca	55100	ITA	Tuscany	€€	Tuscan, Classic Cuisine	Situated in one of the typical squares of Lucca’s beautiful historic centre, this restaurant boasts four dining rooms – the central room is adorned with shelves of wine bottles, while the others ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0583 493129	https://www.ristoranteolivo.it/
La Conchiglia d'Oro	via Nazionale Adriatica nord	Pineto	64025	ITA	Abruzzo	€€	Seafood, Mediterranean Cuisine	The rather anonymous location does not in any way detract from the quality of this historic restaurant, which is renowned for its excellent fish and seafood. The menu showcases fish from the ...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 085 949 2333	https://www.ristorantelaconchigliadoro.it
La Stella	via Principale 38	Meduno	33092	ITA	Friuli-Venezia Giulia	€€	Regional Cuisine	One of the best addresses in the province, this charming country trattoria offering excellent value for money is superbly run by a friendly family. The dishes, which focus on traditional recipes ...	Terrace	Mastercard, Visa	+39 0427 86124	
L'Ancora della Tortuga	salita Cappuccini 4	Monterosso al Mare	19016	ITA	Liguria	€€	Seafood	Decorated in maritime - style, this restaurant is literally perched on the cliff (one of its walls is actually rock). The views from its upper terrace are breathtaking. Fish takes pride of place ...	Air conditioning, Great view, Terrace	Amex, Mastercard, Visa	+39 0187 800065	https://www.ristorantetortuga.it/
La Bul	via Villari 52	Bari	70122	ITA	Apulia	€€€	Modern Cuisine	Here, in one of Bari’s most interesting restaurants, chef Antonio Scalera serves top-quality cuisine accompanied by intelligently chosen wines with fascinating stories behind them. The dishes ...	Air conditioning, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 080 619 8162	https://ristorantelabul.com
Il Turacciolo	piazza Vittorio Emanuele II 4	Andria	76123	ITA	Apulia	€€	Apulian, Modern Cuisine	This informal wine bar in the town centre features paper tablecloths and a menu chalked up on two blackboards. Delicious regional cuisine, including the occasional dish with surprisingly modern ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 388 199 8889	
Tivoli	località Lacedel 34	Cortina d'Ampezzo	32043	ITA	Veneto	€€€€	Modern Cuisine, Italian	This restaurant occupies an attractive Alpine house outside the town centre on the road to the Falzarego pass and at the foot of the Tofane mountains. Here, the chef shows himself to be completely...	Car park, Great view, Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0436 866400	https://www.ristorantetivolicortina.it/
Bottega Aleotti	via Paltrinieri 62	Crevalcore	40014	ITA	Emilia-Romagna	€€	Italian Contemporary, Emilian	Situated in a secluded street in the town centre, this restaurant run by a couple boasts an elegant dining room with an attractive dark parquet floor. The cuisine is a good example of how to add a...	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 051 981651	http://www.ristorantebottegaaleotti.it
Trattoria la Colonna	Via Emilia Est 6, località San Nicolò	Rottofreno	29010	ITA	Emilia-Romagna	€€	Seafood	This classic-style restaurant with a recently renovated dining room is situated on the street that runs through the village of San Nicolò. Although the menu features some meat dishes (on Sundays ...	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0523 768343	https://www.ristorantelacolonna.com/
Osteria dai Coghi	via Alcide De Gasperi 9/13	Albarè di Costermano	37010	ITA	Veneto	€€	Modern Cuisine, Farm to table	This well-kept, welcoming restaurant with a colourful decor and wine bottles adorning the walls serves imaginative dishes with modern combinations – our inspector particularly enjoyed the guinea ...	Air conditioning, Restaurant offering vegetarian menus, Terrace	Mastercard, Visa	+39 347 344 2158	httpss://daicoghi.it
Trattoria di Via Serra	via Luigi Serra 9/b	Bologna	40129	ITA	Emilia-Romagna	€	Emilian	It’s well worth heading off the traditional tourist trail to experience this simple and informal trattoria in Bolognina, the city’s historic working-class district which now has a very ...	Air conditioning	Amex, Mastercard, Visa	+39 051 631 2330	https://www.trattoriadiviaserra.it/
Il Pescatore	via Acqua Dolce 7	Cala Gonone	08022	ITA	Sardinia	€€	Seafood, Seasonal Cuisine	This Mediterranean-style restaurant has the evocative feel of a seaside village with its beautiful photos of the coast on the walls. It’s best to book ahead if you want one of the tables on the ...	Air conditioning, Great view, Terrace	Amex, Mastercard, Visa	+39 0784 93174	https://www.ristoranteilpescatorecalagonone.com/
Vecchio Ristoro	via Tourneuve 4	Aosta	11100	ITA	Aosta Valley	€€€€	Cuisine from the Aosta Valley, International	Despite its town-centre location and elegant ambience, this former 17C mill, which has retained its old wheel and millstone in the dining room, almost has the feel of the mountains. Here, the ...	Interesting wine list	Amex, Mastercard, Visa	+39 0165 33238	https://ristorantevecchioristoro.it/
Trattoria da Probo	via Provinciale Nord 13	Bagnolo in Piano	42011	ITA	Emilia-Romagna	€	Emilian, Classic Cuisine	A bulwark of traditional local cuisine, this trattoria serves antipasti such as erbazzone (a savoury pie), fried gnocchi and cured ham, followed by fresh pasta (the cappelletti in broth are ...	Air conditioning, Car park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0522 951300	https://www.trattoriadaprobo.it/
I Carracci	via Manzoni, 2	Bologna	40121	ITA	Emilia-Romagna	€€€	Classic Cuisine	The ceiling at this restaurant is adorned with superb frescoes thought to be by the school of the Carracci brothers, whose painters were definitely responsible for decorating other rooms in this ...	Air conditioning, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 051 225445	https://grandhotelmajestic.duetorrihotels.com/it/hotel-5-stelle-lusso-bologna-italia/ristorante-i-carracci
La Luge	Perreres, loc. Varvoyes	Breuil Cervinia	11021	ITA	Aosta Valley	€€	Cuisine from the Aosta Valley, Italian	This attractive, rustic - style restaurant is situated just a few kilometres from the centre of Cervinia. It stands in a tranquil, panoramic basin where the only neighbours are the marmots in the ...	Car park, Garden or park, Terrace	Amex, Mastercard, Visa	+39 0166 948758	http://www.luge.it/ristorante
Old Friend	via Giuseppe Cesare Abba 51	Cagliari	09126	ITA	Sardinia	€€	Farm to table, Seasonal Cuisine	Situated slightly away from the city’s main shopping district, this restaurant has a fresh and trendy feel with music playing in the background and friendly, efficient service in the dining room. ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 070 464 7988	https://oldfriendcagliari.it/
Da Vittorio	via Cantalupa 17	Brusaporto	24060	ITA	Lombardy	€€€€	Italian Contemporary	Although there’s an à la carte at this welcoming, family-run restaurant, the four tasting menus served here are the highlight: “Gli esordi di papà Vittorio” (traditionally inspired meat dishes); “...	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 035 681024	http://www.davittorio.com
Il Tirabusciò	via Rosa Scoti 12	Bibbiena	52011	ITA	Tuscany	€€	Tuscan	This restaurant in the heart of the old town is a must for anyone keen to try the cuisine of the Casentino region. The friendly chef is more than happy to provide information on his ingredients ...	Air conditioning	Amex, Mastercard, Visa	+39 0575 595474	https://www.tirabuscio.it/
La Kucina	via Giulio De Petra 67	Foggia	71121	ITA	Apulia	€€	Italian Contemporary, Grills	This modern, welcoming restaurant on the outskirts of town serves contemporary cuisine on a varied menu which also includes simpler options to suit all budgets, especially at lunchtime. In the ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0881 331274	http://www.lakucina.it
Antica Osteria dei Camelì	via Marconi 13	Ambivere	24030	ITA	Lombardy	€€€	Modern Cuisine	Occupying an attractive farmhouse dating back to the 16C, this restaurant boasts an interesting combination of antique elegance and modern style. The cuisine is equally impressive, offering a ...	Air conditioning, Car park, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 035 908000	https://www.anticaosteriadeicameli.it/
Tenuta del Gallo	Strada degli Ortacci 34	Macchie	05022	ITA	Umbria	€€	Italian, Classic Cuisine	Whether you dine indoors in the charming, romantic dining room or outdoors with views of the surrounding countryside, you’ll enjoy traditional local cuisine and classic Italian favourites at this ...	Car park, Garden or park, Great view, Terrace	Mastercard, Visa	+39 0744 987112	https://tenutadelgallo.com/
Agritur El Mas	strada de Saslonch 176, località Col de Soldai	Moena	38035	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Alpine	Situated above the village, this authentic agriturismo raises cows, horses and pigs and produces its own meat, salamis and cheeses, all of which are available online and in its own shop. Other ...	Car park, Garden or park, Terrace	Amex, Mastercard, Visa	+39 0462 574221	https://www.agriturelmas.it/
Zur Rose	via Josef Innerhofer 2	San Michele	39057	ITA	Trentino-South Tyrol	€€€	Regional Cuisine, Classic Cuisine	The long-established Zur Rose is a gourmet restaurant that has certainly made its mark along the romantic Tyrolean Wine Route. Here, chef Herbert Hintner serves his own version of creative ...	Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0471 662249	https://www.zur-rose.com/it
Il Ristorante - Niko Romito	via Privata Fratelli Gabba 7/b	Milan	20121	ITA	Lombardy	€€€€	Italian Contemporary	Housed within the Bulgari hotel right in the heart of Milan and opposite an exclusive garden, this restaurant is run by three-Michelin-starred chef Niko Romito from the Abruzzi, who creates light ...	Air conditioning, Garden or park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 02 805 8051	https://www.bulgarihotels.com/it_IT/milan/dining/il-ristorante
Da Guido	via Roma Sinistra 25	Jesolo	30016	ITA	Veneto	€€€	Seafood	The story of this restaurant began in 1967, when Guido and Giovanna Fasan, both of whom still work front of house, met in Germany. They then moved back to Italy, where they opened Da Guido in the ...	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace, Wheelchair access	Mastercard, Visa	+39 0421 350380	https://www.ristorantedaguido.com/
Foresta	via Litoranea 2	Marina di Pisa	56128	ITA	Tuscany	€€€	Seafood, Classic Cuisine	Overlooking the Tyrrhenian Sea, all the tables at this restaurant offer sea views, whether you’re sitting in the winter dining room or on the outdoor summer terrace. The menu here focuses on ...	Air conditioning, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 050 35082	https://www.ristoranteforesta.com/
Taverna Rovita	via Rovita 13	Maratea	85046	ITA	Basilicata	€€	Cuisine from Basilicata, Country cooking	This restaurant in the historic centre of Maratea has been run with passion and enthusiasm by the same family since 1981. The emphasis is on a careful selection of top quality ingredients.For ...	Air conditioning	Amex, Mastercard, Visa	+39 0973 258417	https://www.tavernarovitamaratea.it
Bon Wei	via Castelvetro 16/18	Milan	20154	ITA	Lombardy	€€	Chinese, Asian	China on a plate! This attractive restaurant with an intriguing decor combining elegance, modern style and Asian influences serves a wide selection of Chinese specialities. Dishes include ...	Air conditioning, Wheelchair access	Amex, Mastercard, Visa	+39 02 341308	https://www.bon-wei.it/
Hosteria La Cave Cantù	via Circonvallazione Cantù 62	Casteggio	27045	ITA	Lombardy	€€€	Italian, Modern Cuisine	Situated within the 18C Cantù monastery, now also home to a museum and library, this modern restaurant with a friendly ambience in its dining rooms and wine cellar also boasts an attractive ...	Air conditioning, Car park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0383 191 2171	https://www.lacavecantu.it
Wine & Dine	strèdà Roma 5	Canazei	38032	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Classic Cuisine	Popular with locals, this restaurant has the typical atmosphere of a traditional Alpine hut with its old wood furnishings and romantic corners. Surrounded by high mountain peaks, the restaurant ...	Car park, Garden or park, Interesting wine list	Amex, Mastercard, Visa	+39 0462 601111	https://www.hotelcrocebianca.com/it/cucina-tipica-trentina/ristorante-gourmet-wineedine/
W Villadorata Country Restaurant	contrada Portelle	Noto	96017	ITA	Sicily	€€€	Country cooking, Creative	Part of the Country House Villadorata resort in the hills outside Noto, this restaurant boasts a delightful setting with the sea as a backdrop, surrounded by gardens which provide many of the ...	Car park, Great view, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 342 816 3083	https://www.vivavivianavarese.it/viva-villadorata
Bramea	viale Villa d'Errico 10	Palazzo San Gervasio	85026	ITA	Basilicata	€€	Creative	This gourmet restaurant with just a few tables is run by two young friends, now business partners at Bramea, with one at the helm in the kitchen, the other front of house. Extensive tasting menus ...	Air conditioning, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0972 209498	http://www.bramearistorante.it
La Locanda del Notaio	Via Piano delle Noci 42	Pellio Intelvi	22024	ITA	Lombardy	€€€	Creative	An elegant restaurant with a warm atmosphere embellished by a central fireplace. Chef Marco Moretto creates modern dishes which are elegant and balanced, with a focus on seasonal produce from the ...	Car park, Garden or park, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 031 842 7016	https://lalocandadelnotaio.com/
Villa Crespi	via Fava 18	Orta San Giulio	28016	ITA	Piedmont	€€€€	Creative, Mediterranean Cuisine	Just a stone’s throw from the enchanting village of Orta San Guilio with its picture-postcard views of the lake and San Giulio island, this three-Michelin-starred restaurant boasts a stunning ...	Air conditioning, Car park, Garden or park, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0322 911902	http://www.villacrespi.it
President	piazza Schettini 12/13	Pompei	80045	ITA	Campania	€€€	Mediterranean Cuisine	The menu at this restaurant features traditional dishes from Campania with updated twists, some of which (such as the “sigilinium” bread) even date back to Ancient Roman times. The cuisine, which ...	Air conditioning, Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 081 850 7245	https://www.ristorantepresident.it/
Cile's	viale Cesare Battisti 35	Fano	61032	ITA	Marche	€€	Seafood, Classic Cuisine	Situated near the sea, this small, bright restaurant with an almost shabby feel has a decor featuring plenty of wood, along with a blue and white colour scheme that makes it feel like a corner of ...	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0721 803390	http://www.ristoranteciles.it
Lucia	via Lampedusa 12	Giulianova Lido	64021	ITA	Abruzzo	€€	Seafood, Classic Cuisine	Having just celebrated their 50th anniversary (they opened in 1971), this restaurant and hotel of the same name remain a solid culinary reference on the Abruzzi coast. The menu here is dedicated ...	Air conditioning	Amex, Mastercard, Visa	+39 085 800 5807	https://www.hlucia.it/
Votavota	lungomare Andrea Doria 48	Marina di Ragusa	97010	ITA	Sicily	€€€	Modern Cuisine, Seafood	The perfect choice for those who love the sea, courtesy of the splendid views of the Mediterranean through the picture windows in the dining room. Guests can observe the two chefs at work in the ...	Air conditioning, Great view, Terrace	Amex, Mastercard, Visa	+39 334 142 6962	https://www.votavota.it/
